Fat_percent,SNF_percent,Protein_percent,Lactose_percent,Moisture_percent,Total_Solids_percent,pH,Specific_Gravity,Acidity_Titratable_pct,Viscosity_cP,Conductivity_mS_cm,CLR_Corrected_Lactometer,Urea_mg_per_100mL,Melamine_ppm,Total_Plate_Count_CFU_mL,Coliform_CFU_mL,MBRT_hours,Adulteration_Index_0_1,FSSAI_Chemical_Score,Estimated_Added_Water_pct,Is_Adulterated
7.4869,9.5611,3.451,4.7297,85.1997,17.048,6.767,1.0297,0.1524,2.0727,5.0348,15.7,24.705,0.0,51215,14,4.08,0.0,100.0,0.0,0
4.7883,8.9469,3.2147,4.6175,86.8996,13.7352,6.675,1.0307,0.1457,1.8054,4.9225,15.63,29.34,0.0,22740,16,4.34,0.0,100.0,1.72,0
0.3039,9.0665,3.3053,4.8081,90.0341,9.3704,6.721,1.0301,0.1392,1.7847,4.5845,18.02,25.592,0.0,36972,13,4.24,0.0,97.78,1.42,0
4.996,8.5054,3.2968,4.8946,86.7783,13.5014,6.722,1.0313,0.1467,1.8239,4.974,14.55,21.19,0.0,53165,2,4.76,0.037,97.37,1.66,0
4.8161,9.0642,3.1396,4.6823,86.9276,13.8803,6.653,1.0301,0.1326,1.9039,5.1852,18.12,25.317,0.0,37509,2,4.14,0.0447,97.52,1.74,0
4.5577,8.7601,3.4925,4.5421,87.0624,13.3178,6.728,1.0288,0.1352,1.8348,4.5746,14.07,22.298,0.0,12560,10,4.3,0.0,98.8,1.02,0
3.664,8.7227,3.0488,4.5122,88.2778,12.3867,6.783,1.0305,0.1475,1.9258,5.1341,14.83,24.58,0.0,128078,45,4.87,0.0407,100.0,0.0,0
4.5861,8.5388,3.4511,4.8893,86.8025,13.1249,6.552,1.0288,0.1576,1.7264,4.9638,17.63,27.66,0.0,84979,71,3.03,0.046,100.0,0.0,0
7.1195,9.0339,3.2295,4.8257,85.7804,16.1534,6.679,1.031,0.153,1.8828,5.1823,20.95,22.393,0.0,167756,4,4.07,0.0128,100.0,0.0,0
2.2663,9.2918,3.3277,4.7881,88.7313,11.5581,6.798,1.0286,0.1517,2.0466,4.9239,18.38,28.278,0.0,21530,4,3.08,0.0,100.0,0.0,0
1.6295,9.1099,3.3989,4.7098,89.4815,10.7394,6.598,1.0314,0.1428,1.8155,5.0377,17.05,21.732,0.0,18900,5,3.7,0.0,97.15,0.0,0
0.4786,9.1387,3.4446,4.7687,89.5016,9.6173,6.709,1.0302,0.1628,2.0276,4.5154,15.83,23.693,0.0,23616,27,3.04,0.0,100.0,0.38,0
3.6502,8.9242,3.3336,4.6813,88.494,12.5744,6.594,1.0281,0.1696,1.8392,4.5418,18.99,22.987,0.0,15605,11,3.19,0.004,100.0,0.98,0
0.1469,8.7666,3.2394,4.5827,90.1966,8.9135,6.572,1.029,0.1395,1.9036,5.0088,18.58,27.326,0.0,123949,13,3.07,0.0,98.48,0.0,0
3.222,8.8123,3.129,4.6519,87.8371,12.0343,6.733,1.0315,0.1503,1.9441,4.6003,16.87,21.622,0.0,110020,107,4.02,0.021,100.0,1.38,0
5.3049,10.2065,4.3249,4.838,87.4884,15.5114,6.658,1.0299,0.1421,1.8256,4.6404,18.29,27.111,1.883,11601,10,3.39,0.7768,22.81,0.0,1
6.2514,9.2103,3.2143,4.8818,85.7382,15.4617,6.593,1.0284,0.1545,1.7377,4.5144,21.13,22.494,0.0,64635,7,3.99,0.0103,100.0,0.96,0
7.463,9.6536,3.541,4.9752,85.1277,17.1166,6.568,1.0288,0.1392,1.8876,4.5707,15.18,21.675,0.0,47589,15,3.6,0.0,97.71,0.0,0
3.7784,8.9138,3.3759,4.6192,88.1963,12.6922,6.766,1.0317,0.1407,1.742,4.943,19.11,22.722,0.0,84450,8,3.15,0.0444,100.0,0.0,0
0.1517,8.9891,3.417,4.7133,89.9092,9.1408,6.617,1.0294,0.1697,1.9546,5.0654,20.73,26.523,0.0,102188,2,3.55,0.0,100.0,1.42,0
2.4474,9.3127,3.4134,4.8449,88.9844,11.7601,6.688,1.0304,0.1614,1.8924,4.6148,19.8,24.386,0.0,199895,26,3.94,0.0235,97.64,0.0,0
1.594,9.1383,3.1822,4.7414,89.2658,10.7323,6.77,1.0314,0.1467,2.0207,4.6733,17.99,22.624,0.0,10699,8,3.6,0.0227,98.17,1.04,0
4.8564,8.6339,3.4425,4.8531,86.7969,13.4903,6.64,1.0284,0.1603,1.9386,4.6771,20.9,29.756,0.0,40083,12,3.1,0.0262,100.0,0.0,0
3.2008,8.5785,3.1112,4.5005,87.62,11.7793,6.606,1.032,0.1367,2.0155,4.7255,18.51,23.307,0.0,38188,25,4.88,0.0,97.62,0.77,0
7.0425,9.0684,3.3875,4.9586,85.8953,16.1109,6.752,1.0292,0.1531,1.9543,4.5455,14.91,28.543,0.0,46322,4,3.88,0.0,100.0,0.87,0
