Spice_Type,Adulterant_Type,Adulteration_Level,Moisture,Ash_Content,Acid_Insoluble_Ash,Volatile_Oil,Protein,Fiber,Color_Intensity,Density,pH,Electrical_Conductivity,Is_Adulterated
Ginger,None,0.0,5.93,2.42,0.29,2.38,7.91,13.75,62.17,0.326,5.13,0.291,0
Cinnamon,None,0.0,5.07,2.6,0.19,1.69,12.66,14.92,62.48,0.36,5.19,0.12,0
Chili Powder,None,0.0,6.16,3.29,0.12,1.4,9.26,14.21,69.15,0.36,4.99,0.082,0
Paprika,Potato,43.43435620100226,7.21,1.0,2.6,0.1,10.08,16.9,55.52,0.571,5.78,0.434,1
Cinnamon,None,0.0,6.39,4.07,0.31,1.23,11.74,15.06,68.88,0.38,5.46,0.062,0
Turmeric,None,0.0,5.69,3.29,0.5,0.77,10.59,17.15,68.84,0.353,5.59,0.145,0
Black Pepper,None,0.0,5.42,5.66,0.12,0.65,10.8,12.76,58.28,0.38,4.94,0.257,0
Paprika,None,0.0,5.54,3.57,0.32,0.43,9.83,16.25,69.08,0.383,5.47,0.182,0
Ginger,None,0.0,6.28,1.0,1.27,1.15,10.81,10.43,74.35,0.379,5.19,0.275,0
Paprika,None,0.0,5.27,2.97,0.25,0.1,9.62,17.27,74.96,0.309,5.35,0.192,0
Ginger,None,0.0,5.53,1.43,0.1,1.37,8.16,14.05,68.92,0.345,6.06,0.158,0
Paprika,Acacia Gum,31.738003828684107,5.0,2.8,1.59,0.1,10.04,16.22,76.58,0.463,4.9,0.364,1
Ginger,Rice Powder,16.396467542807002,4.89,3.96,1.85,0.14,8.69,16.25,92.84,0.446,5.78,0.486,1
Chili Powder,Artificial Color,9.508484556885755,6.14,2.33,0.74,0.17,9.71,17.31,75.96,0.365,5.71,0.265,1
Ginger,None,0.0,4.72,4.28,0.67,1.83,11.15,13.83,78.93,0.35,5.69,0.218,0
Black Pepper,None,0.0,8.25,3.48,0.5,1.13,9.76,18.19,69.94,0.263,4.67,0.19,0
Ginger,None,0.0,4.37,3.13,0.3,1.17,12.29,16.6,80.77,0.363,5.0,0.209,0
Black Pepper,None,0.0,6.76,1.9,0.42,0.37,10.92,12.03,71.76,0.29,5.35,0.058,0
Turmeric,None,0.0,6.54,2.72,0.1,1.65,9.92,17.99,59.38,0.298,5.27,0.269,0
Ginger,None,0.0,6.84,3.32,0.96,0.68,12.14,16.47,67.2,0.413,5.92,0.341,0
Cinnamon,Hazelnut,61.05364106853844,6.46,2.42,2.93,0.1,11.63,15.49,62.38,0.574,5.6,0.572,1
Black Pepper,None,0.0,3.0,3.28,0.14,0.48,9.91,13.26,71.56,0.481,5.35,0.1,0
Cumin,Walnut Shell,63.188444449667955,12.57,2.8,2.99,0.1,7.65,14.55,52.72,0.606,5.43,0.504,1
Turmeric,Sawdust,46.98462068655408,3.28,2.6,2.14,0.1,9.77,16.32,55.3,0.559,5.4,0.445,1
Cumin,None,0.0,5.44,4.52,0.85,1.05,7.25,17.52,77.93,0.397,5.59,0.288,0
Chili Powder,Artificial Color,5.176208461931429,5.33,2.06,1.15,1.07,8.7,17.33,69.89,0.319,5.38,0.184,1
Chili Powder,None,0.0,3.0,2.22,0.1,1.05,10.3,17.94,74.51,0.384,5.78,0.05,0
Paprika,None,0.0,7.58,3.44,0.71,0.82,7.86,18.3,70.74,0.403,4.93,0.346,0
Cinnamon,Hazelnut,27.26407671660532,4.98,1.0,1.8,0.1,9.27,13.69,66.91,0.584,5.63,0.413,1
Ginger,None,0.0,4.63,2.12,0.17,0.12,9.08,15.09,58.99,0.299,5.68,0.423,0
Cinnamon,Walnut Shell,16.57233784653384,5.64,2.09,1.3,0.1,7.32,14.06,56.06,0.471,5.32,0.313,1
Ginger,None,0.0,4.92,3.01,1.02,1.1,10.99,17.49,60.77,0.375,5.47,0.05,0
Ginger,None,0.0,4.85,2.28,0.57,1.25,9.38,17.0,62.73,0.288,5.03,0.316,0
Paprika,None,0.0,5.05,1.84,1.11,1.15,9.89,18.37,72.66,0.29,5.18,0.05,0
Cinnamon,Hazelnut,14.101205012929185,3.19,1.44,0.81,0.67,10.51,19.47,78.21,0.463,5.69,0.272,1
Paprika,Pedicel,22.54422945549267,3.43,3.27,1.57,0.1,9.45,21.54,56.29,0.422,5.99,0.326,1
Paprika,None,0.0,4.99,3.92,0.4,0.87,10.06,16.02,59.79,0.467,5.61,0.181,0
